,id,created_time,title,description,live_status,length,is_crosspost_video,permalink_url,source
0,463745138207580,2021-04-15T07:16:04+0000,Outbreak - Epidemics in a Connected World,"Hãy tham dự cùng Tổng lãnh sự Damour #CGDamour buổi tường thuật trực tiếp từ Đại học Fulbright Việt Nam, một chương trình thảo luận về việc chúng ta có thể ngăn chặn những đại dịch khác trong tương lai như thế nào.  Sự kiện này sẽ mở màn triển lãm của Viện Smithsonian có tên Outbreaks: Epidemics in a Connected World được trưng bày tại Đại học Fulbright đến hết ngày 29/4. Mời các bạn đến xem!

Live from Fulbright University of Vietnam for a discussion about how we can prevent future pandemics. This panel marks the opening of the Smithsonian exhibit called Outbreaks: Epidemics in a Connected World, which will be on display until April 29th.  Come check it out!",VOD,3379.712,False,/USConsulateHCMC/videos/463745138207580/,https://scontent.fsgn2-2.fna.fbcdn.net/v/t66.36281-6/10000000_455282692245040_8907643686112475315_n.mp4?_nc_cat=100&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=5VONF9Ob1FoAX9kRlP6&_nc_ht=scontent.fsgn2-2.fna&oh=f3ff1c073a8b825b9a20c57b527294f5&oe=609FF9B6
1,458639862083933,2021-04-14T14:00:18+0000,ACTV Season 2 | Episode 5,"Chào mừng đến với Phần 2 | Tập 5 của ACTV 📺!
Chia sẻ văn hóa ẩm thực và ẩm thực mang mọi người và các quốc gia lại gần nhau. Tham gia cùng chúng tôi tối nay trong ACTV Season 2 | Tập 5 để tìm hiểu thêm về ẩm thực Mỹ nhé! 🇺🇸🥗🌶🥘

Tập tối nay sẽ có:
[2:10] A Moment w/ #CGDamour: Phỏng vấn của Tổng Lãnh sự với Zing News về buổi ra mắt của United Tastes!
[4:18] Study in the USA: Hãy khám phá Montana State University!
[6:10] English Corner: Bạn muốn học cách phát âm ""Guacamole""?
[8:36] Discover My State: Từ Rocky Mountains đến Great Plains - hãy ghé thăm ""the Treasure State""!

Hãy nhớ: Chia sẻ, Thích, ♥️ và Bình luận về các tập của chúng tôi! Hẹn gặp lại các bạn tối nay lúc 9 giờ tối.

------
Season 2 | Episode 5 of ACTV 📺 !
Sharing food and food cultures bring people and countries together. Join us tonight on ACTV Season 2 | Episode 5 to learn more about American Foods! 🇺🇸🥗🌶🥘

Tonight's episode will feature: 
[2:10] A Moment w/ #CGDamour: An Interview with Zing News about the launch of United Tastes!
[4:18] Study in the USA: Let’s explore Montana State University!
[6:10] English Corner: Want to learn how to say Guacamole? 
[8:36] Discover My State: From the Rocky Mountains to the Great Plains - let’s visit the Treasure State!

Remember: Share, Like, ♥️, and Comment on our episodes! See you tonight @9:00pm.",VOD,740.181,False,/USConsulateHCMC/videos/458639862083933/,https://scontent.fsgn2-2.fna.fbcdn.net/v/t66.36240-6/10000000_508180166977736_6552387174185359636_n.mp4?_nc_cat=103&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=zvhU7LiccaIAX85HxoH&_nc_ht=scontent.fsgn2-2.fna&oh=40a653ba6ec4e02b804d6e74d0d61f17&oe=60A21C2C
2,2815005512085524,2021-04-07T14:00:23+0000,ACTV Season 2 | Episode 4,"Chào mừng đến với Phần 2 | Tập 4 của ACTV 📺!

Một trong những nền tảng của mối quan hệ song phương của chúng ta là #healthcooperation. Tham gia cùng chúng tôi tối nay trên ACTV Phần 2 | Tập 4 để xem #CGDamour thảo luận ngắn gọn về tầm quan trọng của nó & đừng quên ghé thăm các bức tường bên ngoài của Tổng lãnh sự quán để xem triển lãm “Hợp tác tăng cường sức khỏe cộng đồng”!

Tập tối nay sẽ có:
[2:16] A Moment w/ #CGDamour: Phỏng vấn độc quyền với Báo Thanh Niên!
[3:45] Tech Time: Coding & Robotics!
[5:26] English Corner: Học cách củng cố kỹ năng tư duy phản biện.
[8:12] Discover My State: Ai đó đã nói, ""Aloha""? Hãy đến với chúng tôi trong chuyến tham quan Hawaii nhé!

Hãy nhớ: Chia sẻ, Thích, ♥️ và Bình luận về các tập của chúng tôi! Hẹn gặp lại các bạn tối nay lúc 9 giờ tối.

------
Season 2 | Episode 4 of ACTV 📺 !

One of the cornerstones of our bilateral relationship is #healthcooperation. Join us tonight on ACTV Season 2 | Episode 4 to see #CGDamour briefly discuss its importance & don’t forget to visit the Consulate General’s external walls to see the exhibit, “Strengthening Public Health Together!”

Tonight's episode will feature: 
[2:16] A Moment w/ #CGDamour: Exclusive Interview with Thanh Nien Newspaper! 
[3:45] Tech Time: Coding & Robotics! 
[5:26] English Corner: Learn how to strengthen your critical thinking skills. 
[8:12] Discover My State: Did someone say, “Aloha?” Come join us on a tour of Hawaii!

Remember: Share, Like, ♥️and Comment on our episodes! See you tonight @9:00pm.",VOD,789.035,False,/USConsulateHCMC/videos/2815005512085524/,https://scontent.fsgn2-3.fna.fbcdn.net/v/t66.36240-6/10000000_821773578697175_7719818459378677193_n.mp4?_nc_cat=108&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=SmvqpCq9c2oAX-A-9aG&_nc_ht=scontent.fsgn2-3.fna&oh=833ecd3382a5ff449a14270640294cd6&oe=60A0FDC4
3,929437200930676,2021-04-07T02:27:14+0000,Find the Best LL.M Program For You,Find the Best LL.M Program For You,VOD,2737.963,True,/USConsulateHCMC/videos/929437200930676/,https://scontent.fsgn2-5.fna.fbcdn.net/v/t66.36281-6/10000000_435120294253670_2001347822321716507_n.mp4?_nc_cat=106&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=dQLLInvXNbwAX8TCps0&_nc_ht=scontent.fsgn2-5.fna&oh=776e3f3a177ea1780065dbd26e9b714e&oe=60A20716
4,3800102960037679,2021-04-02T02:58:37+0000,Live stream: Chinh phục Học bổng Fulbright ngành Luật,"Live stream: Chinh phục Học bổng Fulbright ngành Luật

Ngành Luật là một trong những ngành danh giá, đào tạo ra nhiều nhân tài cho nước Mỹ. Do đó, những người đam mê Luật đều ước muốn đến Mỹ học tập để nâng cao trình độ và kĩ năng của bản thân. Vậy ngành Thạc sỹ Luật tại Mỹ đào tạo như thế nào? Trải nghiệm học Thạc sỹ Luật với học bổng toàn phẩn do Chính phủ Mỹ tài trợ thì có gì khác biệt và thú vị? Những yếu tố nào giúp bạn dễ dàng chinh phục học bổng Fulbright để du học ngành Luật tại Mỹ… Tất cả sẽ được chia sẻ chi tiết trong buổi livestream “Chinh phục Học bổng Thạc sỹ Fulbright ngành Luật”.",VOD,5783.424,True,/USConsulateHCMC/videos/3800102960037679/,https://scontent.fsgn2-5.fna.fbcdn.net/v/t66.36281-6/10000000_277093450686546_7244771862945155061_n.mp4?_nc_cat=102&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=b7xfW1Tlw6cAX9E-Tzz&_nc_ht=scontent.fsgn2-5.fna&oh=3342d934a46ed7ab3654c4d5375a3120&oe=60A172BC
5,475554033759018,2021-03-31T14:00:05+0000,ACTV Season 2 | Episode 3,"Chào mừng đến với Phần 2 | Tập 3 của ACTV 📺!

#WomensHistoryMonth đã thành công rực rỡ! Hy vọng bạn đã tham gia với chúng tôi trong Cuộc thảo luận Ban lãnh đạo Phụ nữ vào đầu tháng này, khi #CGDamour và các tổng lãnh sự khác chia sẻ kinh nghiệm của họ về việc trở thành phụ nữ trong các vị trí lãnh đạo!

Tập tối nay sẽ có:
- A Moment with #CGDamour: Xem trích đoạn cuộc phỏng vấn độc quyền của bà với Tuổi Trẻ. [2:00]
- Alumni Success: Khám phá các cơ hội độc đáo khi học đại học ở Hoa Kỳ! [3:53]
- English Corner: Tìm hiểu các thuật ngữ liên quan đến #WomenEmpowerment! [6:44]
- Discover My State: Bạn đã đến thăm New Orleans chưa? Trải nghiệm Mardi Gras? Hay ăn Jambalaya? Hãy xem ACTV để biết chúng tôi sẽ giới thiệu tiểu bang nào trong tuần này! [8:59]

Hãy nhớ: Chia sẻ, Thích, 💕 và Bình luận về các tập của chúng tôi! Hẹn gặp lại các bạn tối nay lúc 9 giờ tối!

------
Season 2 | Episode 3 of ACTV 📺!

#WomensHistoryMonth was a total success!  Hope you joined us for our Women in Leadership Panel Discussion earlier this month, where #CGDamour and other consuls general shared their experiences of being women in leadership positions!

Tonight's episode will feature: 
-A Moment with #CGDamour: Sneak peek into her exclusive interview with Tuoi Tre. [2:00]
-Alumni Success: Discover unique college opportunities in the USA! [3:53]
-English Corner: Learn about #WomenEmpowerment terminology! [6:44]
-Discover My State: Have you visited New Orleans? Experienced Mardi Gras? Or eaten Jambalaya? Well, watch ACTV to find out which state we will feature this week! [8:59]

Remember: Share, Like, 💕 and Comment on our episodes! See you tonight @9:00pm.",VOD,789.035,False,/USConsulateHCMC/videos/475554033759018/,https://scontent.fsgn2-4.fna.fbcdn.net/v/t66.36240-6/10000000_398169527919556_8859387784379002028_n.mp4?_nc_cat=109&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=dZiH1BG5d9oAX8e04K-&_nc_ht=scontent.fsgn2-4.fna&oh=4d4586b53fe4098f4bdf62394d465c01&oe=609F199D
6,859327421591591,2021-03-31T02:31:54+0000,Art Porfolios for Top Art Schools & How to start a business as a Film or Music Producer,"Làm cách nào để hồ sơ xét tuyển ngành nghệ thuật gây ấn tượng với giáo sư?
Hãy theo dõi trực tiếp trên Facebook lúc 09:30 sáng ngày 31/3/2021 để tìm hiểu cách chuẩn bị hồ sơ xét tuyển và cơ hội nghề nghiệp sau khi tốt nghiệp ngành Phim ảnh/Âm nhạc/Nghệ thuật hoặc Thiết kế. Anh David Wivell từ trường Rochester Institute of Technology sẽ chia sẻ việc bí quyết chuẩn bị hồ sơ và những kinh nghiệm thú vị khi khởi nghiệp với vai trò nhà sản xuất phim hay âm nhạc.
Want to catch a professor's attention with your creativity?
Join us live on Facebook at 09:30AM on March 31, to learn about how to create art portfolios for top Film / Music / Art or Design programs! David Wivell, International Enrollment Advisor at the Rochester Institute of Technology, will share some tips on how to create quality art portfolios and how to run a small startup documentary production company as a film and music producer.",VOD,3479.296,False,/USConsulateHCMC/videos/859327421591591/,https://scontent.fsgn2-2.fna.fbcdn.net/v/t66.36281-6/10000000_117484107090635_4583729569561837262_n.mp4?_nc_cat=100&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=wiL69Fq-L7IAX9fPGnp&_nc_oc=AQmQKC5PFRUHyW3Fwt1E-zPb-00fPhEZ1xUYxq21tSyCN0QMySaKW8dpmeqNlXTHwNo&_nc_ht=scontent.fsgn2-2.fna&oh=8a58eee26675bfa45a39653660e005e9&oe=60A0FEFE
7,256543339470601,2021-03-29T02:45:14+0000,Live stream: Chinh phục Học bổng Thạc sỹ Fulbright ngành Chính sách công/Quản trị công,"Live stream: Chinh phục Học bổng Thạc sỹ Fulbright ngành Chính sách công/Quản trị công

Chính sách công là gì? Bạn có nên đi học ngành chính sách công? Các nhánh trong chính sách công gồm những gì? Học Thạc sỹ về Chính sách công xong thì có thể làm những công việc nào? Đó là những nội dung sẽ được giải đáp trong buổi phát sóng thứ 5 của Series “Chinh phục Học bổng Thạc sỹ Fulbright” năm học 2022-2023.",VOD,5266.773,True,/USConsulateHCMC/videos/256543339470601/,https://scontent.fsgn2-1.fna.fbcdn.net/v/t66.36281-6/10000000_263535752101400_5216684134002978009_n.mp4?_nc_cat=105&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=CsBa2s8hNfUAX9KV7jq&_nc_ht=scontent.fsgn2-1.fna&oh=229c1ce237773f63b2134f5c64a7e3ef&oe=609E5F5A
8,456105862376490,2021-03-24T14:00:17+0000,ACTV Season 2 | Episode 2,"Chào mừng đến với Phần 2 | Tập 2 của ACTV 📺!

Bạn có thích thể thao điện tử không? 🎮 Nếu có, hãy xem tập ACTV mới nhất của chúng tôi!

Tập tối nay sẽ có:
[0:22] Giới thiệu: #eSports
[3:52] What’s Poppin ’in Pop Culture: Phỏng vấn người chơi nghiệp dư!
[6:24] English Corner: Tìm hiểu về các từ viết tắt liên quan đến Esports!
[10:22] Khám phá trạng thái của tôi: Bạn có thích pho mát không? Hồ? Và Green Bay Packers? Sau đó, hãy khám phá tiểu bang Wisconsin tuyệt vời!

Hãy nhớ: Chia sẻ, Thích, ❤️ và Bình luận về các tập của chúng tôi! Hẹn gặp lại các bạn tối nay lúc 9 giờ tối.

------
Season 2 | Episode 2 of ACTV 📺 !

Are you into Esports? 🎮 Then, come watch our latest episode of ACTV!  

Tonight's episode will feature: 
[0:22] Introduction: #eSports
[3:52] What’s Poppin’ in Pop Culture: Interview with amateur gamer! 
[6:24] English Corner: Learn about Esports-related abbreviations! 
[10:22] Discover My State: Do you like cheese? Lakes? And the Green Bay Packers? Then, let’s explore the great state of Wisconsin!

Remember: Share, Like, ❤️ and Comment on our episodes! See you tonight @9:00pm.",VOD,838.443,False,/USConsulateHCMC/videos/456105862376490/,https://scontent.fsgn2-6.fna.fbcdn.net/v/t66.36240-6/10000000_111545957689346_279838542276133754_n.mp4?_nc_cat=110&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=TEIfolLdAyEAX93KsI3&_nc_ht=scontent.fsgn2-6.fna&oh=035e13cb4d483b9270e02d71afc39a5c&oe=60A16E93
9,447875266489569,2021-03-24T07:10:36+0000,Happy #WorldWaterDay!,"🌊 💦  Mừng #NgàyNướcThếGiới! Hơn 70 triệu người sinh sống nhờ vào sông Mekong. Biến đổi khí hậu đe dọa chất lượng nguồn nước, ảnh hưởng sinh kế và phá vỡ các hệ sinh thái quan trọng. 

🤝  Tìm hiểu thêm về #QuanHệĐốiTácMekongHoaKỳ tại http://MekongUSPartnership.org

🌊 💦  Happy #WorldWaterDay! More than 70 million people rely on the Mekong River. Climate change threatens the reliability of water supplies, impacting livelihoods and disrupting critical ecosystems. 

🤝 Learn more about the #MekongUSPartnership at  http://MekongUSPartnership.org",,123.669,False,/USConsulateHCMC/videos/447875266489569/,https://scontent.fsgn2-1.fna.fbcdn.net/v/t66.36240-6/121267579_3771818512925905_325391059680567171_n.mp4?_nc_cat=111&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=QNB0CrLpxBgAX_P0Oj6&_nc_ht=scontent.fsgn2-1.fna&oh=30c1c4a7c14bd420e093f97c1da465c6&oe=60A0D5A5
10,271931307802901,2021-03-24T02:28:36+0000,Making Yourself Competitive for Graduate School,Making Yourself Competitive for Graduate School,VOD,3637.888,True,/USConsulateHCMC/videos/271931307802901/,https://scontent.fsgn2-1.fna.fbcdn.net/v/t66.36281-6/10000000_127108192694948_7776652972404172798_n.mp4?_nc_cat=105&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=rQxPnwMbCpwAX8ROrom&_nc_ht=scontent.fsgn2-1.fna&oh=ebf7b8487bd7e9b5c82ee41d79a2eb88&oe=60A10EC9
11,341605243947847,2021-03-19T10:00:40+0000,,,,13.4,False,/USConsulateHCMC/videos/341605243947847/,https://video.fsgn2-5.fna.fbcdn.net/v/t42.1790-2/164315356_285066236520070_621693038143936698_n.mp4?_nc_cat=106&vs=befc7de2f960e827&_nc_vs=HBkcFQAYJEdOeEF5d21HNXNNblJBTUJBTG9ZNXptR3NxQUlidjRHQUFBRhUAAsgBAEsDiBJwcm9ncmVzc2l2ZV9yZWNpcGUBMSBtZWFzdXJlX29yaWdpbmFsX3Jlc29sdXRpb25fc3NpbQAoY29tcHV0ZV9zc2ltX29ubHlfYXRfb3JpZ2luYWxfcmVzb2x1dGlvbgAVACUAHAAAJpDT%2B6mFrJsBFZBOKAJDMxgLdnRzX3ByZXZpZXccF0AqzMzMzMzNGClkYXNoX3YzXzEyODBfY3JmXzIzX2hpZ2hfMy4xX2ZyYWdfMl92aWRlbxIAGBh2aWRlb3MudnRzLmNhbGxiYWNrLnByb2QZHBUAFaC2BAAoElZJREVPX1ZJRVdfUkVRVUVTVBsNiBVvZW1fdGFyZ2V0X2VuY29kZV90YWcGb2VwX2hkE29lbV9yZXF1ZXN0X3RpbWVfbXMNMTYxODY1NjI3NTUwNQxvZW1fY2ZnX3J1bGUHdW5tdXRlZBNvZW1fcm9pX3JlYWNoX2NvdW50BjI2NTM3MQxvZW1fcm9pX25vdGULcHJvZ3Jlc3NpdmURb2VtX3JvaV91c2VyX3RpZXIAHm9lbV9yb2lfcHJlZGljdGVkX3dhdGNoX3RpbWVfcwEwJW9lbV9yb2lfZXN0aW1hdGVkX3RhZ3NldF9tdmhxX2JpdHJhdGUBMCVvZW1fcm9pX3N0YXRpY19iZW5lZml0X2Nvc3RfZXZhbHVhdG9yC3Byb2dyZXNzaXZlDG9lbV92aWRlb19pZA8zNDE2MDUyNDM5NDc4NDcSb2VtX3ZpZGVvX2Fzc2V0X2lkDzM0MTYwNTIzNzI4MTE4MRVvZW1fdmlkZW9fcmVzb3VyY2VfaWQPMzQxNjA1MjMzOTQ3ODQ4HG9lbV9zb3VyY2VfdmlkZW9fZW5jb2RpbmdfaWQPMjg1MDY2MjI2NTIwMDcxJQIcHBwV8OYXGwFVAAIbAVUAAhwVAgAAABaAurcDACW%2BARsFiAFzBDExOTUCY2QKMjAyMS0wMy0xOQNyY2MHcHJlbWl1bQJjdBNTVE9SWV9BUkNISVZFX1ZJREVPAnRzD29lcF9wcm9ncmVzc2l2ZQA%3D&ccb=1-3&_nc_sid=a1bfcc&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCIsInNvdXJjZV9zZWdtZW50X2hhbmRsZSI6bnVsbH0%3D&_nc_ohc=IORVSmDVSigAX-D8YPJ&_nc_ht=video.fsgn2-5.fna&oh=51af1528671054e05e4a2cae5ee9f8de&oe=607C71C6&_nc_rid=4c9a42b4ee7b4d9
12,904268963475932,2021-03-19T06:32:05+0000,Ask A Consul: Immigrant Visas Facebook Live Event,"Việc tiếp tục xử lý tất cả các loại Thị thực Nhập cư có ý nghĩa gì đối với bạn? Làm thế nào để một thường trú nhân hợp pháp (LPR) có thể trở lại Hoa Kỳ sau một năm? Bạn có câu hỏi khác về thị thực nhập cư?

What does the resumption of processing all Immigrant Visa categories mean for you? How can a lawful permanent resident (LPR) return to the United States after a year? Do you have other questions about immigrant visas?",VOD,3432.32,False,/USConsulateHCMC/videos/904268963475932/,https://scontent.fsgn2-3.fna.fbcdn.net/v/t66.36281-6/10000000_902002077257421_4351680622802420420_n.mp4?_nc_cat=108&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=z8ei-0v_n44AX9s50st&_nc_ht=scontent.fsgn2-3.fna&oh=d09d24f5b739aeb0a02a460396a9a7aa&oe=609E6D42
13,130149495707845,2021-03-19T02:53:20+0000,Live stream: Chinh phục Học bổng Thạc sỹ Fulbright ngành Phát triển,"Live stream: Chinh phục Học bổng Thạc sỹ Fulbright ngành Phát triển

Khi nói về Phát triển, chúng ta thường nghĩ đến việc đưa xã hội vươn nhanh về phía trước. Nhưng Phát triển còn có nghĩa là đảm bảo rằng không có ai bị bỏ lại phía sau. Chương trình Thạc sỹ về Phát triển tại Hoa Kỳ, cái nôi của hệ thống Quốc Tế về Phát Triển, sẽ giúp bạn trả lời các câu hỏi như: Phát triển khác với Từ thiện Nhân đạo như thế nào? Làm sao để bảo vệ môi trường sống dưới sức ép của lợi ích kinh tế? Làm sao để giúp đỡ nhưng vẫn bảo vệ phẩm giá và trao quyền cho người yếu thế? Và làm thế nào để thúc đẩy cộng đồng cùng tham gia giải quyết một vấn đề xã hội mà bạn quan tâm?",VOD,5735.892,True,/USConsulateHCMC/videos/130149495707845/,https://scontent.fsgn2-5.fna.fbcdn.net/v/t66.36281-6/10000000_873443980206022_4438659170325975603_n.mp4?_nc_cat=102&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=ZEWpez2GkjwAX83dHqy&_nc_ht=scontent.fsgn2-5.fna&oh=b6275214932a4dc987b237d8870e4e25&oe=60A069A5
14,2860671517541142,2021-03-18T06:17:42+0000,Makers Without Borders,"In celebration of Women’s Month, join FABLAB Mindanao of the Mindanao State University-Iligan Institute of Technology, a GIST Innovation Hub and   American Spaces Philippines of the U.S. Embassy in the Philippines in collaboration with American Corner Manila-DLSU, American Center Ho Chi Minh, American Corner ITB, and AtAmerica Jakarta as we host a panel of women FAB LAB and makerspace leaders who will share how women are leading innovations for change. In this episode of Makers Without Borders, panelists will share how we can increase the participation of women in FAB LABs, makerspaces and innovation centers.

#MWOB #AmSpacesPH #AmSpacesAtHome",VOD,5654.998,True,/USConsulateHCMC/videos/2860671517541142/,https://scontent.fsgn2-5.fna.fbcdn.net/v/t66.36281-6/10000000_793909411240380_6864761925132216316_n.mp4?_nc_cat=104&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=lziGV0ZN64UAX9y1ZOf&_nc_ht=scontent.fsgn2-5.fna&oh=59181065666f30232d727a92b3aab307&oe=609FC30F
15,142491551104832,2021-03-17T02:44:22+0000,Esports in the United States,"🆕🆒🎮 Bạn biết gì về thể thao điện tử (ESports)? 🤩👉 Hãy theo dõi trực tiếp trên Facebook lúc 9:30 sáng ngày 17/3/2021 để tìm hiểu một ngày tiêu biểu của sinh viên thể thao điện tử tại trường đại học Hoa Kỳ khi trở thành một game thủ chuyên nghiệp. Huấn luyện viên Andy Roland của Đại học Dakota State University sẽ chia sẻ các hoạt động và các trận đấu khác nhau mà sinh viên tham gia. 📍📖 Bạn cũng có cơ hội đặt câu hỏi với đại diện tuyển sinh Nicole Claussen của Đại học Dakota State University và Sandra O'Connor, Trợ lý Phòng Văn hoá Thông tin, về thể thao điện tử và chương trình học thể thao điện tử.
🆕🆒🎮 What are Esports? 🤩👉 Join us live on Facebook at 9:30AM, March 17, to learn more about what a typical day looks like for an Esports athlete currently studying at a university in the United States. Coach Andy Roland from Dakota State University will talk about the different gaming conferences and the games that students are competing in. 📍📖 You will also have a chance to ask questions to Nicole Claussen, the Director of International Programs at Dakota State University and Sandra O'Connor, Public Affairs Assistant!
#edusaathome #EdUSA #studyintheUSA #EducationUSA",VOD,3637.972,False,/USConsulateHCMC/videos/142491551104832/,https://scontent.fsgn2-1.fna.fbcdn.net/v/t66.36281-6/10000000_1545995562252999_2321295152934886967_n.mp4?_nc_cat=105&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=IrdTPp6bGFMAX89_2h8&_nc_ht=scontent.fsgn2-1.fna&oh=ad0c13510a82b2b6f03d07077f61faee&oe=609FAA2A
16,274912527520230,2021-03-16T14:00:51+0000,ACTV Season 2 | Episode 1,"ACTV đã trở lại! Chào mừng đến với Phần 2 | Tập 1 của ACTV 📺!

Chúng tôi rất vui khi được xuất hiện trên bảng tin Facebook của bạn và hy vọng sẽ mang đến cho bạn những nội dung bổ ích và thú vị!

Tập tối nay sẽ có:
- Giới thiệu: Chủ đề #BlackHistoryMonth, giới thiệu bài phát biểu nổi tiếng, “Tôi có một giấc mơ,” của Tiến sĩ Martin Luther King.
- English Corner: Phân tích ngắn gọn các thuật ngữ trong bài phát biểu của Tiến sĩ King.
- #StudyintheUSA: Học đại học ở Hoa Kỳ trong thời kỳ đại dịch.
- Discover My State Khám phá 13 thuộc địa ban đầu: Connecticut!

Hãy nhớ Chia sẻ, Thích, ❤️ và Bình luận về các tập của chúng tôi! Hẹn gặp lại các bạn tối nay lúc 9 giờ tối.

———
It’s back! Welcome to Season 2 | Episode 1 of ACTV!

We are excited to show up on your Facebook feeds, and hope to bring you fun, informative and interesting content! 

Tonight's episode will feature: 
-Introduction: #BlackHistoryMonth Special featuring the famous speech, “I Have a Dream,” by Dr. Martin Luther King. 
-English Corner: Brief analysis of terms within Dr. King’s speech. 
-#StudyintheUSA: Attending university in the USA during a pandemic. 
-Discover My State: Exploring one the original 13 colonies: Connecticut! 

Remember: Share, Like, and Comment on our episodes! See you tonight @9:00pm.",VOD,746.112,False,/USConsulateHCMC/videos/274912527520230/,https://scontent.fsgn2-6.fna.fbcdn.net/v/t66.36240-6/10000000_818603808735595_4221807802047822121_n.mp4?_nc_cat=110&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=mCwTPHweY9EAX_vD_EF&_nc_ht=scontent.fsgn2-6.fna&oh=d1759de539b84cbe260ac753eef5562f&oe=609F8F8C
17,462958231495658,2021-03-15T02:20:40+0000,Live stream: Chinh phục Học bổng Thạc sỹ Fulbright ngành Nghệ thuật,"Live stream: Chinh phục Học bổng Thạc sỹ Fulbright ngành Nghệ thuật

Học bổng chính phủ cũng tài trợ nhóm ngành Nghệ thuật nữa á?” Fulbright không chỉ gật đầu khẳng định, mà còn dang rộng vòng tay chào đón các ứng viên thuộc nhóm ngành này. Một tấm vé du học Thạc sĩ tại xứ sở của Broadway, Hollywood, Walt Disney và vô vàn điểm đến giải trí – nghệ thuật khác, chẳng phải đáng mơ ước hay sao? Sáu diễn giả với đam mê trải rộng từ sân khấu, điện ảnh, truyện tranh, đến giáo dục nghệ thuật sẽ cho bạn cái nhìn đa chiều về quá trình ứng tuyển học bổng Fulbright, cũng như cách thuyết phục hội đồng giám khảo về sức mạnh kết nối cộng đồng của nghệ thuật.",VOD,6010.838,True,/USConsulateHCMC/videos/462958231495658/,https://scontent.fsgn2-1.fna.fbcdn.net/v/t66.36281-6/10000000_131408708998355_8892913835154885466_n.mp4?_nc_cat=107&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=YqdNen5uVUEAX9I6VIt&_nc_ht=scontent.fsgn2-1.fna&oh=132e9f647ef0323ca6e6f40409d63821&oe=609EBB02
18,1582957121897938,2021-03-11T10:46:52+0000,Women's Empowerment Club Batch 10 Info Session,"Are you a Vietnamese female mid-career professional? Do you want to develop your soft skills, enhance your networks, and help empower other women in HCMC and beyond? Come and join our Women’s Empowerment Club (WEC) Information Session to learn about our club and how to apply to join.",VOD,100.001,True,/USConsulateHCMC/videos/1582957121897938/,https://scontent.fsgn2-1.fna.fbcdn.net/v/t66.36281-6/10000000_270671561267126_4218823054738472893_n.mp4?_nc_cat=111&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=ZHzpa9Q4-HoAX_YH2jT&_nc_ht=scontent.fsgn2-1.fna&oh=626134923283f926fed11d4e92b51eb2&oe=60A0814B
